-- Controller informations --
-- ID | Model
c0 | RAID 5/6 SAS based on LSI MegaRAID
c1 | LSI MegaRAID SAS 9280-8e

-- Arrays informations --
-- ID | Type | Size | Status | InProgress
c0u0 | RAID6 | 3636G | Optimal | None
c1u0 | RAID6 | 18188G | Optimal | None

-- Disks informations
-- ID | Model | Status
c0u0p0 | WD-WMATV4411393WDC WD1002FBYS-50A6B0 03.00C07 | Online
c0u0p1 | WD-WMATV4423439WDC WD1002FBYS-50A6B0 03.00C07 | Offline
c0u0p2 | WD-WMATV4412610WDC WD1002FBYS-50A6B0 03.00C07 | Online
c0u0p3 | WD-WMATV4379147WDC WD1002FBYS-50A6B0 03.00C07 | Offline
c0u0p4 | WD-WMATV4412839WDC WD1002FBYS-50A6B0 03.00C07 | Online
c0u0p5 | WD-WMATV4379252WDC WD1002FBYS-50A6B0 03.00C07 | Online
c1u0p0 | SEAGATE ST32000444SS KS659WM0XE60 | Online
c1u0p1 | SEAGATE ST32000444SS KS659WM0T6WK | Online
c1u0p2 | SEAGATE ST32000444SS KS659WM0N0Z6 | Online
c1u0p3 | SEAGATE ST32000444SS KS659WM0N0RL | Offline
c1u0p4 | SEAGATE ST32000444SS KS659WM0N0QY | Online
c1u0p5 | SEAGATE ST32000444SS KS659WM0MXL3 | Online
c1u0p6 | SEAGATE ST32000444SS KS659WM0T730 | Online
c1u0p7 | SEAGATE ST32000444SS KS659WM0T89Z | Online
c1u0p8 | SEAGATE ST32000444SS KS659WM0N3MM | Online
c1u0p9 | SEAGATE ST32000444SS KS659WM0MR5E | Online
c1u0p10 | SEAGATE ST32000444SS KS659WM0T6TM | Online
c1u0p11 | SEAGATE ST32000444SS KS659WM0N1SC | Online
